label,elongated_word	
ai,القـــــــرآني	
ai,المـــــؤلف	
ai,مــــوت	
ai,أكـــــــــــــرور	
ai,تتتبع	
ai,المـــــــــــــــــالي	
ai,عولمــــــــــــــــــــة	
ai,لللجوء	
ai,هــــــ	
ai,استراتيجيـــــات	
ai,أنموذجـــا	
ai,الروائـــي	
ai,بلعيـــــد	
ai,كلغــــة	
ai,ـــ	
ai,للسرديـــــــــــات	
ai,اللسانيــــة	
ai,الأطـــر	
ai,اللّســـانيّات	
ai,التجاريـــة	
ai,البنـــــوك	
ai,تقييــــــم	
ai,محمممد	
ai,لللاهوت	
ai,والتخيييل	
ai,للليبيين	
ai,لللياقة	
ai,الللس	
ai,لللاعبين	
ai,الامتـــداد	
ai,الاستـــمداد	
ai,بإفـــريــقــيّـــة	
ai,سلـــطــــة	
ai,لللعان	
ai,إلــــــى	
human,بــــــــ	
human,كقضيـــــــة	
human,قـــــــديم	
human,كـــل	
human,يقـــــــول	
human,التأويـــلي	
human,العلامـــات	
human,السيميائيـــات	
human,ـــــ	
human,المعجميـــــــــــــــة	
human,وأصبحــــــــــــت	
human,اجتماعيـــــــــــــــــــا	
human,تحــــــولا	
human,النهضـــــــــــة	
human,عــــــــرف	
human,القلاقـــل	
human,أشــــــدهــــــــــا	
human,المحـــــــــــــن	
human,العـــــــربي	
human,باللغــــــــــة	
human,القــــــــراءة	
human,هــــــذه	
human,ـــــــــــــص	
human,بـــــــــــ	
human,متـــناول	
human,ــــ	
human,فنـــــوع	
human,أشعــــــــــارهم	
human,أهميتــــــها	
human,النصــــــــــــوص	
human,لأغـــــــــــــــراض	
human,متلــــــق	
human,فكــــــــــــــــــرة	
human,ـــ	
human,قـيَّـــدت	
human,مــــرة	
human,تســـاهم	
human,الفعــــــــالية	
human,الأشخــــــــاص	
human,القـــانون	
human,تسليــــــــــط	
human,عـــلى	
human,بـــ	
human,موزعــــة	
human,بــــــ	
human,تهــــدف	
human,لــــأحمد	
human,الحزمــــــة	
human,الأثــــر	
human,قيــــــاس	
human,قـــدم	
human,حمايــــته	
human,الاســـتهلاك	
human,البـــريد	
human,كالهاتــــف	
human,تقنيـــات	
human,عــــبر	
human,الاستهــــلاك	
human,الممــــارسات	
human,أنمـــاط	
human,تغـــيرت	
human,شبـــكة	
human,العنـــف	
human,الرياضــــة	
human,المركــــزية	
human,المحليــــة	
human,الوقائــــية	
human,إجـــــراءات	
human,وتطويـــــرها	
human,الرياضيــــة	
human,البدنيــــة	
human,الأنشطـــة	
human,بتنظيـــم	
human,المتعلــــق	
human,القانـــون	
human,واســـع	
human,النظـــامية	
human,ارتكـــاب	
human,والمنـــــفرد	
human,متعـــلق	
human,الأمـــر	
human,نوعيــــة	
human,جامعيـــــــة	
human,الدراســـــة	
human,فإنـــه	
human,ومشكلـــــة	
human,والمعرفــــــة	
human,المؤسسسات	
human,المبيـــت	
human,صـــباحا	
human,والمؤسســـات	
human,بـــالإدارات	
human,للعمـــل	
human,تـــوجيههم	
human,منهـــا	
human,الحـــوافز	
human,مـــن	
human,العديـــد	
human,وإعطـــائهم	
human,بـــالمجتمع	
human,المســـاجين	
human,دمـــج	
human,ممـــا	
human,الجريمـــة	
human,حلـــول	
human,إيجـــاد	
human,خـــلال	
human,المجتمـــع	
human,الوجـــه	
human,١٨٨٨	
human,تطــــــــــــورت	
human,الأســـاس	
human,التـــــجارة	
human,وحـــماية	
human,الاســـــتقرار	
human,أجـــل	
human,عـــــــمراني	
human,شــــــــهدت	
human,فــــبعدها	
human,تعبيـــــــرًا	
human,فاعبــــدون	
human,نوحـــــي	
human,رســــــول	
human,الطبـــــيب	
human,يرتكــــــــبه	
human,تــــــــامة	
human,القصــــيدة،إلى	
human,طابـــع	
human,فـــي	
human,جديــــــــــــــدةتتحوّل	
human,جلاّديهــــــــا	
human,جمــــاجــــــــم	
human,تمشــــــــــــيفـــــــــــــوق	
human,مازالـــــــت	
human,وتسقيهـــــــــــــــاوالثـــــــــورة	
human,تكســــــــــــــــوقمـــــــــــــة	
human,مازالــــــــت	
human,الثورةفالثــــــــورة	
human,ضحيـــــــةسبع	
human,مليــــون	
human,الشهــــــداءبـــــــــإرادة	
human,بعظــــــام	
human,للحريـــــةتبنيـــــه	
human,هرمــــــــا	
human,التاريختبنــــــي	
human,القهـــر	
human,أشكـــال	
human,المأزومـــة	
human,الأنثويـــة	
human,الـــذات	
human,قضايـــا	
human,بالتعبيـــر	
human,المكــــان	
human,علاقــــات	
human,الأعمـــال	
human,يتحــــول	
human,المرفـــق	
human,للرياضـــات	
human,الطائــــــرة	
human,المقاومـــة	
human,عنــــــــها	
human,تراثـــــــــهم	
human,ليتـــولى	
human,ضـــرورة	
human,عـــدة	
human,يترتــــب	
human,الخـــطر	
human,تغـــطية	
human,التأمـــين	
human,المؤمـــن	
human,المساهمـــين	
human,المؤمنـــين	
human,تنفـــيذ	
human,عقـــد	
human,مؤمنـــين	
human,الحقيـــقة	
human,الصـــناعية	
human,الأخـــطار	
human,شـــركات	
human,تعـــتمدها	
human,التـــي	
human,القانونيـــة	
human,الآلـــيات	
