label,word_count,tfidf_sample
ai,91,"{15: 1.2162, 93: 5.0911, 110: 5.397, 213: 5.526, 215: 0.1514}"
ai,80,"{93: 5.0911, 110: 5.397, 215: 0.3028, 444: 3.8871, 500: 2.0471}"
ai,108,"{170: 5.84, 215: 0.6055, 324: 2.8204, 446: 5.8157, 486: 5.5814}"
ai,130,"{12: 4.1146, 159: 0.8645, 167: 4.0675, 192: 5.4345, 215: 0.7569}"
ai,141,"{8: 4.8914, 12: 4.1146, 215: 0.9083, 292: 4.6377, 295: 10.5707}"
ai,89,"{15: 1.2162, 187: 4.5281, 215: 0.3028, 243: 3.8461, 246: 6.1114}"
ai,74,"{15: 1.2162, 215: 0.4542, 246: 6.1114, 292: 4.6377, 931: 5.4129}"
ai,53,"{27: 2.0261, 159: 0.8645, 215: 0.3028, 444: 3.8871, 510: 3.5059}"
ai,120,"{40: 3.5083, 159: 0.8645, 215: 0.3028, 544: 5.9078, 817: 2.6833}"
ai,126,"{12: 4.1146, 36: 5.7628, 159: 1.729, 215: 0.1514, 229: 2.6942}"
ai,77,"{40: 7.0167, 64: 5.1689, 159: 0.8645, 215: 0.4542, 500: 2.0471}"
ai,56,"{15: 1.2162, 159: 0.8645, 215: 0.3028, 544: 5.9078, 817: 2.6833}"
ai,61,"{159: 0.8645, 215: 0.7569, 641: 3.6483, 1009: 0.2172, 1299: 1.5498}"
ai,104,"{159: 0.8645, 215: 0.1514, 281: 5.1387, 424: 4.2031, 500: 2.0471}"
ai,18,"{1173: 6.1222, 1296: 5.3608, 1444: 0.8443, 1602: 3.8207, 3740: 3.2175}"
ai,57,"{64: 2.5844, 266: 6.4696, 574: 1.8013, 782: 4.6377, 797: 3.2607}"
ai,49,"{27: 2.0261, 159: 0.8645, 215: 0.1514, 1009: 0.4344, 1165: 5.5442}"
ai,11,"{1009: 0.2172, 1835: 4.6804, 4213: 2.5081, 5473: 3.4701, 5500: 2.2449}"
ai,68,"{159: 0.8645, 215: 0.3028, 1009: 0.2172, 1067: 6.732, 1169: 4.7889}"
ai,177,"{15: 1.2162, 25: 18.0165, 215: 0.6055, 523: 4.5106, 546: 2.5466}"
ai,104,"{216: 5.3065, 273: 5.1802, 444: 3.8871, 574: 1.8013, 980: 6.2496}"
ai,127,"{15: 1.2162, 26: 5.0345, 191: 3.38, 215: 0.4542, 229: 2.6942}"
ai,10,"{1206: 5.2324, 1418: 3.4708, 2851: 5.176, 3121: 3.5244, 3627: 3.6501}"
ai,92,"{60: 4.9436, 64: 12.9221, 122: 5.0345, 137: 4.2015, 215: 0.1514}"
ai,80,"{60: 4.9436, 190: 5.8482, 306: 1.5586, 476: 4.8389, 650: 5.3407}"
ai,171,"{17: 4.848, 35: 4.6426, 43: 5.1028, 109: 9.6718, 159: 1.729}"
ai,130,"{111: 5.7765, 159: 4.3225, 215: 0.7569, 275: 4.9336, 421: 4.1442}"
ai,100,"{15: 1.2162, 64: 2.5844, 159: 1.729, 201: 7.1475, 215: 0.3028}"
ai,104,"{15: 1.2162, 17: 4.848, 159: 1.729, 215: 0.4542, 275: 4.9336}"
ai,87,"{15: 2.4325, 159: 1.729, 215: 0.7569, 298: 6.7522, 461: 5.1469}"
ai,92,"{18: 4.8883, 109: 4.8359, 112: 5.5942, 215: 0.1514, 431: 4.8664}"
ai,129,"{40: 3.5083, 159: 0.8645, 215: 0.6055, 523: 4.5106, 696: 4.8239}"
ai,148,"{40: 7.0167, 215: 0.3028, 523: 9.0212, 690: 5.1592, 818: 15.2732}"
ai,81,"{215: 0.4542, 749: 4.9107, 927: 4.4234, 1128: 4.0844, 1370: 5.2235}"
ai,44,"{215: 0.4542, 306: 1.5586, 465: 6.1667, 1009: 0.2172, 1222: 3.6575}"
ai,85,"{109: 4.8359, 158: 4.4294, 215: 0.1514, 248: 6.3265, 388: 5.0128}"
ai,113,"{0: 5.7998, 159: 0.8645, 191: 3.38, 212: 5.2922, 215: 0.1514}"
ai,140,"{26: 5.0345, 31: 3.0194, 211: 4.4415, 215: 0.6055, 306: 1.5586}"
ai,113,"{31: 3.0194, 64: 7.7533, 74: 5.9996, 75: 5.9996, 99: 5.0057}"
ai,50,"{15: 1.2162, 95: 4.6526, 112: 5.5942, 215: 0.4542, 1009: 0.4344}"
ai,77,"{31: 3.0194, 74: 5.9996, 295: 2.6427, 302: 5.0272, 306: 1.5586}"
ai,102,"{60: 4.9436, 215: 0.7569, 431: 4.8664, 535: 6.262, 550: 3.9695}"
ai,127,"{144: 6.2873, 191: 3.38, 215: 0.6055, 306: 1.5586, 332: 4.9707}"
ai,124,"{5: 4.5943, 215: 0.3028, 295: 29.0693, 347: 5.5141, 500: 4.0942}"
ai,92,"{5: 4.5943, 32: 5.2368, 64: 15.5066, 215: 0.3028, 295: 10.5707}"
ai,66,"{27: 2.0261, 112: 5.5942, 159: 0.8645, 183: 2.941, 331: 3.0902}"
ai,90,"{112: 5.5942, 159: 0.8645, 215: 0.4542, 220: 3.7393, 254: 5.6006}"
ai,131,"{27: 2.0261, 149: 5.6812, 159: 0.8645, 183: 2.941, 215: 0.4542}"
ai,34,"{215: 0.3028, 500: 2.0471, 663: 4.281, 1444: 0.8443, 2487: 3.7224}"
ai,100,"{64: 5.1689, 159: 0.8645, 215: 0.4542, 324: 2.8204, 681: 4.3107}"
ai,122,"{15: 1.2162, 159: 1.729, 215: 0.1514, 412: 2.6464, 421: 4.1442}"
ai,98,"{159: 0.8645, 215: 0.6055, 306: 1.5586, 506: 14.1673, 641: 3.6483}"
ai,53,"{27: 2.0261, 1004: 5.84, 1009: 0.2172, 1330: 3.622, 1459: 9.3557}"
ai,71,"{15: 1.2162, 215: 0.4542, 306: 1.5586, 308: 5.1592, 474: 6.7522}"
ai,169,"{31: 3.0194, 215: 0.3028, 249: 5.0605, 306: 3.1171, 527: 3.8394}"
ai,129,"{15: 1.2162, 27: 2.0261, 69: 3.0233, 115: 3.0803, 159: 0.8645}"
ai,86,"{215: 0.4542, 306: 1.5586, 485: 3.6061, 1009: 0.2172, 1049: 3.6061}"
ai,58,"{27: 2.0261, 215: 0.1514, 500: 2.0471, 1006: 2.5819, 1009: 0.2172}"
ai,67,"{15: 1.2162, 215: 0.1514, 243: 3.8461, 306: 1.5586, 725: 3.7194}"
ai,107,"{249: 5.0605, 306: 3.1171, 331: 3.0902, 391: 3.5665, 536: 5.4076}"
ai,120,"{69: 3.0233, 104: 5.3813, 215: 0.4542, 370: 5.9996, 376: 4.6551}"
ai,98,"{52: 4.8788, 159: 0.8645, 215: 0.4542, 287: 5.1226, 306: 1.5586}"
ai,55,"{15: 1.2162, 27: 2.0261, 192: 10.8691, 215: 0.1514, 1009: 0.4344}"
ai,70,"{15: 1.2162, 360: 3.2343, 783: 16.1752, 987: 6.587, 1006: 2.5819}"
ai,78,"{36: 2.8814, 90: 5.7168, 159: 0.8645, 215: 0.3028, 243: 3.8461}"
ai,123,"{0: 5.7998, 215: 0.3028, 308: 5.1592, 373: 2.4812, 426: 6.5169}"
ai,94,"{196: 14.4014, 301: 3.5904, 306: 1.5586, 412: 2.6464, 775: 5.4023}"
ai,60,"{27: 2.0261, 159: 0.8645, 215: 0.1514, 231: 4.6085, 515: 4.9741}"
ai,54,"{215: 0.1514, 306: 1.5586, 321: 5.2874, 442: 4.6526, 987: 3.2935}"
ai,74,"{15: 1.2162, 90: 5.7168, 185: 5.278, 215: 0.1514, 249: 5.0605}"
ai,126,"{15: 1.2162, 27: 2.0261, 159: 2.5935, 215: 0.9083, 574: 1.8013}"
ai,110,"{159: 1.729, 163: 4.9369, 215: 0.6055, 333: 5.4735, 360: 3.2343}"
ai,63,"{27: 2.0261, 275: 4.9336, 871: 5.321, 1009: 0.2172, 1123: 3.002}"
ai,63,"{215: 0.3028, 306: 1.5586, 869: 2.7602, 987: 6.587, 1009: 0.2172}"
ai,89,"{27: 2.0261, 116: 3.2477, 159: 0.8645, 215: 0.6055, 438: 4.2175}"
ai,29,"{306: 1.5586, 520: 3.9733, 1009: 0.2172, 1026: 3.879, 1974: 3.7204}"
ai,57,"{157: 3.4428, 215: 0.3028, 500: 2.0471, 850: 5.9255, 1009: 0.2172}"
ai,117,"{15: 2.4325, 115: 3.0803, 159: 1.729, 215: 0.6055, 267: 5.7612}"
ai,114,"{16: 5.371, 23: 5.3457, 159: 0.8645, 172: 3.3136, 183: 5.882}"
ai,10,"{900: 3.3984, 1009: 0.2172, 1602: 3.8207, 3191: 3.9495, 4050: 4.9503}"
ai,56,"{27: 2.0261, 159: 0.8645, 215: 0.1514, 628: 5.9255, 900: 6.7967}"
ai,60,"{15: 1.2162, 159: 0.8645, 215: 0.4542, 306: 1.5586, 375: 5.8818}"
ai,184,"{36: 2.8814, 60: 4.9436, 118: 5.4455, 159: 0.8645, 215: 0.7569}"
ai,123,"{27: 2.0261, 69: 3.0233, 115: 3.0803, 159: 0.8645, 215: 0.4542}"
ai,101,"{27: 2.0261, 60: 4.9436, 127: 5.9345, 159: 1.729, 215: 0.4542}"
ai,74,"{27: 2.0261, 31: 3.0194, 99: 5.0057, 115: 3.0803, 159: 1.729}"
ai,59,"{215: 0.1514, 306: 1.5586, 504: 3.8472, 941: 5.3308, 1009: 0.2172}"
ai,77,"{60: 4.9436, 106: 5.9996, 215: 0.1514, 393: 4.7747, 557: 3.9569}"
ai,120,"{26: 5.0345, 159: 0.8645, 215: 0.4542, 310: 5.0568, 329: 5.2595}"
ai,87,"{80: 4.901, 127: 5.9345, 148: 4.9402, 159: 0.8645, 215: 0.1514}"
ai,62,"{15: 1.2162, 115: 3.0803, 159: 0.8645, 215: 0.1514, 331: 3.0902}"
ai,87,"{15: 1.2162, 215: 0.4542, 255: 5.3065, 331: 3.0902, 412: 2.6464}"
ai,78,"{60: 4.9436, 106: 5.9996, 215: 0.1514, 393: 4.7747, 533: 6.4696}"
ai,122,"{15: 1.2162, 215: 0.3028, 251: 4.7414, 294: 5.3659, 412: 2.6464}"
ai,97,"{215: 0.6055, 240: 4.6601, 306: 1.5586, 449: 4.2488, 505: 4.7305}"
ai,47,"{15: 1.2162, 27: 2.0261, 215: 0.3028, 900: 3.3984, 1009: 0.2172}"
ai,67,"{215: 0.6055, 306: 1.5586, 444: 3.8871, 574: 1.8013, 638: 4.6476}"
ai,66,"{106: 5.9996, 215: 0.1514, 393: 4.7747, 410: 5.6812, 506: 4.7224}"
ai,121,"{15: 1.2162, 27: 2.0261, 115: 3.0803, 159: 0.8645, 215: 0.4542}"
ai,97,"{91: 4.4496, 137: 4.2015, 155: 3.8273, 215: 0.1514, 251: 9.4828}"
ai,42,"{27: 2.0261, 333: 5.4735, 817: 2.6833, 878: 5.1592, 1009: 0.2172}"
ai,122,"{172: 3.3136, 183: 2.941, 215: 0.4542, 252: 5.0605, 339: 3.6328}"
ai,77,"{15: 2.4325, 116: 3.2477, 183: 8.823, 215: 0.4542, 291: 4.0041}"
ai,44,"{15: 1.2162, 215: 0.3028, 306: 1.5586, 381: 6.3813, 987: 3.2935}"
ai,96,"{15: 1.2162, 156: 4.8664, 215: 0.4542, 574: 3.6025, 659: 5.3765}"
ai,118,"{46: 5.9901, 115: 3.0803, 215: 0.4542, 301: 3.5904, 412: 2.6464}"
ai,85,"{215: 0.4542, 416: 5.9996, 427: 4.6352, 435: 2.8746, 451: 4.5896}"
ai,45,"{27: 2.0261, 331: 3.0902, 412: 2.6464, 546: 2.5466, 812: 2.7966}"
ai,70,"{15: 1.2162, 215: 0.4542, 749: 4.9107, 812: 2.7966, 987: 3.2935}"
ai,176,"{13: 4.848, 36: 2.8814, 191: 3.38, 215: 0.3028, 243: 3.8461}"
ai,127,"{27: 2.0261, 68: 6.8154, 90: 5.7168, 115: 3.0803, 148: 4.9402}"
ai,102,"{215: 0.1514, 301: 3.5904, 324: 2.8204, 412: 2.6464, 438: 4.2175}"
ai,47,"{27: 2.0261, 115: 3.0803, 159: 0.8645, 306: 1.5586, 331: 3.0902}"
ai,63,"{15: 1.2162, 215: 0.3028, 438: 4.2175, 987: 3.2935, 1009: 0.2172}"
ai,84,"{36: 2.8814, 187: 4.5281, 215: 0.3028, 265: 6.1222, 449: 4.2488}"
ai,119,"{27: 2.0261, 159: 2.5935, 191: 3.38, 215: 0.7569, 229: 2.6942}"
ai,100,"{27: 2.0261, 31: 3.0194, 177: 6.601, 215: 0.1514, 301: 3.5904}"
ai,49,"{27: 2.0261, 215: 0.3028, 241: 5.2874, 331: 3.0902, 412: 2.6464}"
ai,51,"{15: 1.2162, 215: 0.3028, 485: 3.6061, 743: 3.0592, 1009: 0.2172}"
ai,39,"{797: 6.5213, 1612: 3.526, 1616: 4.8299, 1619: 4.3655, 2047: 5.9435}"
ai,128,"{15: 1.2162, 159: 0.8645, 167: 4.0675, 215: 0.4542, 373: 2.4812}"
ai,97,"{155: 3.8273, 215: 0.3028, 306: 1.5586, 385: 5.1973, 898: 4.7496}"
ai,52,"{27: 2.0261, 91: 4.4496, 215: 0.1514, 282: 4.5687, 373: 2.4812}"
ai,75,"{15: 1.2162, 27: 2.0261, 159: 1.729, 183: 5.882, 215: 0.1514}"
ai,52,"{15: 1.2162, 155: 3.8273, 306: 1.5586, 373: 2.4812, 868: 5.7765}"
ai,52,"{215: 0.1514, 243: 3.8461, 797: 6.5213, 1002: 4.8269, 1143: 4.1999}"
ai,113,"{23: 5.3457, 36: 2.8814, 53: 5.8077, 155: 3.8273, 215: 0.3028}"
ai,96,"{117: 4.8239, 215: 0.7569, 306: 1.5586, 869: 5.5204, 987: 9.8805}"
