label,dual_count,dual_word	
ai,6,العين	
ai,5,للمجاهدين	
ai,5,بين	
ai,5,كان	
ai,3,سكان	
ai,6,للإسرائيليين	
ai,6,المسلمين	
ai,6,الباحثين	
ai,6,الكثيرين	
ai,6,أذهان	
ai,2,آخرين	
ai,5,والوطاسيين	
ai,5,والمرينيين	
ai,5,والموحدين	
ai,5,المرابطين	
ai,3,الدين	
ai,3,والتابعين	
ai,1,العنوان	
ai,2,المستثمرين	
ai,3,تحسين	
ai,2,الجزائريين	
ai,2,المؤرخين	
ai,2,للجزائريين	
ai,3,للمستثمرين	
ai,3,وتحسين	
ai,5,استبيان	
ai,7,الأفغاين	
ai,7,السلطان	
ai,8,الأديان	
ai,2,الفاطميين	
ai,1,المحققين	
ai,1,يبين	
ai,2,للمحققين	
ai,2,الثمين	
ai,3,الميادين	
ai,4,لتحسين	
ai,5,الذين	
ai,9,وبلدان	
ai,9,ميدان	
ai,9,مقتصرين	
ai,9,والمسلمين	
ai,2,السلاطين	
ai,2,الصليبيين	
ai,7,الآخرين	
ai,7,جانبين	
ai,7,عين	
ai,4,لضمان	
ai,1,العباسيين	
ai,11,الكيان	
ai,11,توطين	
ai,11,السنين	
ai,11,الفلسطينيين	
ai,11,اللاجئين	
ai,11,الأربعين	
ai,11,البلدان	
ai,11,لفلسطين	
ai,4,وعين	
ai,4,بعنوان	
ai,3,وتعيين	
ai,10,لتوطين	
ai,10,أربعين	
ai,10,التوطين	
ai,10,فلسطين	
ai,9,بتوطين	
ai,1,معين	
ai,18,أوطان	
ai,18,والإسرائيليين	
ai,18,للفلسطينيين	
ai,2,السكان	
ai,2,المضامين	
ai,4,مضامين	
ai,4,معبرين	
ai,7,الجانبين	
ai,7,الطرفين	
ai,1,السلطتين	
ai,3,والفرنسيين	
ai,3,العثمانيين	
ai,3,البلدين	
ai,2,التموين	
ai,3,والتموين	
ai,9,العالقين	
ai,3,والفاطميين	
ai,5,الهجريين	
ai,5,القرنين	
ai,5,الضفتين	
ai,5,وهران	
ai,5,الزيانين	
ai,5,الميلاديين	
ai,9,الزيانيين	
ai,6,الزايين	
ai,6,صوفيين	
ai,5,مؤثرين	
ai,5,تكوين	
ai,2,والذين	
ai,1,كمسلمين	
ai,3,للقوانين	
ai,3,للإنسان	
ai,3,بيان	
ai,1,تعيين	
ai,4,ميلاديين	
ai,2,اللتين	
ai,4,الإصلاحيين	
ai,3,المعلمين	
ai,3,المعوقين	
ai,1,النوميديين	
ai,3,وضمان	
ai,3,والعشرين	
ai,9,المبدعين	
ai,9,لاحتضان	
ai,9,مبدعين	
ai,4,الوديان	
ai,4,ضمان	
ai,2,للمبدعين	
ai,5,وتكوين	
ai,5,وكان	
ai,2,البيان	
ai,2,بالقوانين	
ai,3,الاجتماعيين	
ai,1,بلدان	
ai,3,القوانين	
ai,2,الفقيهين	
ai,3,كمؤرخين	
ai,3,العالمين	
ai,2,الإنسان	
ai,3,وعمان	
ai,3,المعروفين	
ai,5,والتحسين	
ai,5,للعاملين	
ai,5,عمان	
ai,5,بارزين	
ai,5,كمكانين	
ai,12,مُوزعين	
ai,4,الاستبيان	
ai,4,البراكين	
ai,2,المهتمين	
ai,2,للباحثين	
ai,1,البارزين	
ai,2,السودان	
ai,4,والموظفين	
ai,4,المديرين	
ai,2,وبيان	
ai,4,والصوفيين	
ai,2,التدوين	
ai,3,المسافرين	
ai,3,للمسافرين	
ai,2,للتدوين	
