label,total_entities,unique_entities,diversity_ratio,entity	
ai,18,12,0.6667,الثورة	
ai,15,11,0.7333,العين	
ai,15,11,0.7333,العمل	
ai,15,11,0.7333,خليفي	
ai,15,11,0.7333,سيدي	
ai,15,11,0.7333,جبل	
ai,15,11,0.7333,انتصار	
ai,15,11,0.7333,بين	
ai,15,11,0.7333,سعيد	
ai,15,11,0.7333,عيسى	
ai,15,11,0.7333,على	
ai,12,12,1.0,للثورة	
ai,12,12,1.0,الصحراء	
ai,12,12,1.0,وتنظيم	
ai,12,12,1.0,تنظيم	
ai,18,10,0.5556,بحق	
ai,18,10,0.5556,لعراقة	
ai,18,10,0.5556,بني	
ai,18,10,0.5556,اليهود	
ai,18,10,0.5556,القرآن	
ai,18,10,0.5556,إسرائيل	
ai,18,10,0.5556,اليهودية	
ai,18,10,0.5556,الفريد	
ai,10,9,0.9,مصر	
ai,10,9,0.9,وإمارة	
ai,10,9,0.9,وإمارات	
ai,10,9,0.9,صحراء	
ai,10,9,0.9,صالح	
ai,10,9,0.9,حكمت	
ai,20,14,0.7,ابن	
ai,20,14,0.7,أحد	
ai,20,14,0.7,واحدا	
ai,20,14,0.7,ال	
ai,20,14,0.7,لكن	
ai,20,14,0.7,محمد	
ai,20,14,0.7,دائم	
ai,20,14,0.7,وال	
ai,20,14,0.7,حماس	
ai,20,14,0.7,المغرب	
ai,20,14,0.7,ىو	
ai,20,14,0.7,كوكب	
ai,20,14,0.7,البشري	
ai,12,4,0.3333,إلهام	
ai,12,4,0.3333,أفريقيا	
ai,9,4,0.4444,حكم	
ai,9,4,0.4444,مالي	
ai,9,4,0.4444,شرقاً	
ai,10,7,0.7,العبد	
ai,10,7,0.7,بالله	
ai,10,7,0.7,ومدراس	
ai,10,7,0.7,التصوف	
ai,10,7,0.7,الدين	
ai,10,7,0.7,والعمل	
ai,10,6,0.6,سعد	
ai,10,6,0.6,الله	
ai,10,6,0.6,القاسم	
ai,10,6,0.6,لأبي	
ai,7,7,1.0,بناء	
ai,7,7,1.0,بناءً	
ai,7,7,1.0,كامل	
ai,7,3,0.4286,المالي	
ai,22,8,0.3636,أبي	
ai,9,7,0.7778,لمستقبل	
ai,9,7,0.7778,لبناء	
ai,2,2,1.0,المماليك	
ai,3,2,0.6667,تونس	
ai,3,2,0.6667,الجزائر	
ai,8,6,0.75,الفروق	
ai,8,6,0.75,أقصى	
ai,8,6,0.75,ولاية	
ai,8,6,0.75,رضا	
ai,6,5,0.8333,فرنسا	
ai,6,5,0.8333,السلطان	
ai,6,5,0.8333,الحميد	
ai,9,4,0.4444,الحاج	
ai,3,2,0.6667,هو	
ai,3,2,0.6667,وهو	
ai,7,6,0.8571,وتضامن	
ai,7,6,0.8571,واحد	
ai,7,6,0.8571,التضامن	
ai,7,6,0.8571,كأحد	
ai,5,4,0.8,فإن	
ai,23,11,0.4783,الشرق	
ai,23,11,0.4783,الأوسط	
ai,23,11,0.4783,باسم	
ai,23,11,0.4783,المصري	
ai,23,11,0.4783,الأوسطي	
ai,23,11,0.4783,والشرق	
ai,23,11,0.4783,كبيرة	
ai,23,11,0.4783,حياة	
ai,19,10,0.5263,وابن	
ai,19,10,0.5263,بن	
ai,19,10,0.5263,خلدون	
